,0
0,48.546475709859735
1,49.54135129553174
2,48.165589281761775
3,48.72973123554135
4,49.275829558732184
5,48.85481217161249
6,48.20865527007608
7,48.92415116933288
8,48.36770479062566
9,48.96205187648824
10,49.35673134470449
11,49.66134567523817
12,48.62187777715507
13,48.7555197515109
14,48.6305194396434
15,47.99735671753022
16,47.71392049868454
17,46.751129322956565
18,47.680054520830936
19,46.68712039668466
20,47.84760641336375
21,48.44343910019831
22,49.36999711521146
23,49.15382497393883
24,48.885589090296605
25,49.62072028645081
26,50.07613493548974
27,50.09722957775706
28,51.338908087412676
29,50.88303502588786
30,50.22426665218956
31,50.28646339535779
32,48.584526122934726
33,49.178143959746286
34,48.62635077608064
35,47.71919405872975
36,47.760703732983096
37,46.80457311048672
38,45.90642778177349
39,45.9928840949624
40,46.935787306752516
41,47.479748199239225
42,48.3530433140943
43,49.83336145039027
44,51.81679811816798
45,52.06070020103041
46,54.48434933636102
47,55.39938968647167
48,58.27876926402764
49,59.11850593361798
50,57.95257180688767
51,56.20818728151357
52,56.14468335471031
53,55.20990006084329
54,55.57055803566479
55,50.72569496866332
56,54.658297999651026
57,54.32332503770357
58,55.13756912563682
59,56.19929023896903
60,56.725154398896635
61,56.698682822723555
62,55.28258400613518
63,54.4400509609592
64,54.54419054140141
65,54.991480663730435
66,54.65677332045813
67,54.80925630244993
68,55.84992315230648
69,55.117432852190205
70,55.897036428626826
71,55.49897719473707
72,55.68931168299822
73,56.17165948932849
74,56.5361198531611
75,57.97504932700029
76,57.057752469790216
77,57.514843524330274
78,58.448648130536185
79,58.873430417142146
80,57.73682821422433
81,57.322877987325285
82,57.04402411532012
83,56.720294181367464
84,56.23762130621898
85,56.203566697059244
86,56.860483163506316
87,56.43939640752164
88,57.24534430304285
89,58.40425414116542
90,56.550197216345204
91,56.04093901833084
92,57.3427874926064
93,55.56241221279908
94,55.83230345532383
95,56.73326348597661
96,56.25311852640869
97,54.919668642975445
98,53.25334787195744
99,53.284225080705404
